,departamento
288,GENERAL ANGEL V. PEÑALOZA
289,MOLINOS
290,SANTA VICTORIA
291,ATAMISQUI
292,VALCHETA
293,INDEPENDENCIA
294,HUILICHES
295,ALBERDI
296,HURLINGHAM
297,COMANDANTE FERNANDEZ
298,DOLORES
299,SAN ANDRES DE GILES
300,LOS LAGOS
301,VALLE FERTIL
302,FLORENTINO AMEGHINO
303,VINCHINA
304,PICUNCHES
305,SAN CRISTOBAL
306,QUITILIPI
307,CASTELLANOS
308,SAN VICENTE
309,ESQUINA
310,LIBERTAD
311,FRAY MAMERTO ESQUIU
